CHAPTER_ID	TEXT_ID	PARAGRAPH_ID	TEXT	LABEL
1	1	1	Ik ben makelaar in koffi, en woon op de Lauriergracht, N 37.	C
1	2	1	Het is myn gewoonte niet, romans te schryven, of zulke dingen, en het heeft dan ook lang geduurd, voor ik er toe overging een paar riem papier extra te bestellen, en het werk aantevangen, dat gy, lieve lezer, zoo-even in de hand hebt genomen, en dat ge lezen moet als ge makelaar in koffi zyt, of als ge wat anders zyt.	S
1	3	1	Niet alleen dat ik nooit iets schreef wat naar een roman geleek, maar ik houd er zelfs niet van, iets dergelyks te lezen, omdat ik een man van zaken ben.	S
1	4	1	Sedert jaren vraag ik my af, waartoe zulke dingen dienen, en ik sta verbaasd over de onbeschaamdheid, waarmede een dichter of romanverteller u iets op de mouw durft spelden, dat nooit gebeurd is, en meestal niet gebeuren kan.	S
1	5	1	Als ik in myn vak - ik ben makelaar in koffi, en woon op de Lauriergracht N 37 - aan een principaal - een principaal is iemand die koffi verkoopt - een opgave deed, waarin maar een klein gedeelte der onwaarheden voorkwam, die in gedichten en romans de hoofdzaak uitmaken, zou hy terstond Busselinck & Waterman nemen.	C
1	6	1	Dat zyn ook makelaars in koffi, doch hun adres behoeft ge niet te weten.	C
1	7	1	Ik pas er dus wel op, dat ik geen romans schryf, of andere valsche opgaven doe.	S
1	8	1	Ik heb dan ook altyd opgemerkt dat menschen die zich met zoo-iets inlaten, gewoonlyk slecht wegkomen.	S
1	9	1	Ik ben drie en veertig jaren oud, bezoek sedert twintig jaren de beurs, en kan dus voor den dag treden, als men iemand roept die ondervinding heeft.	C
1	10	1	Ik heb al wat huizen zien vallen!	S
1	11	1	En gewoonlyk, wanneer ik de oorzaken naging, kwam het me voor, dat die moesten gezocht worden in de verkeerde richting die aan de meesten gegeven was in hun jeugd.	S
1	12	2	Ik zeg:	S
1	13	2	waarheid en gezond verstand, en hier blyf ik	S
1	14	2	by.	S
1	15	2	Voor de Schrift maak ik natuurlyk een uitzondering.	C
1	16	2	De fout begint al van Van Alphen af, en wel terstond by den eersten regel over die “ lieve wichtjes.	C
1	17	2	Wat drommel kon dien ouden heer bewegen, zich uittegeven voor een aanbidder van myn zusje	S
1	18	2	Truitje die zeere oogen had, of van myn broêr Gerrit die altyd met zyn neus speelde?	S
1	19	2	En toch, hy zegt:	S
1	20	2	“dat hy die versjes zong, door liefde gedrongen.	S
1	21	2	Ik dacht dikwyls als kind:	S
1	22	2	“man, ik wilde u graag eens ontmoeten, en als ge my de marmerknikkers weigerde, die ik u vragen zou, of myn naam voluit in banket - ik heet	S
1	23	2	Batavus - dan houd ik u voor een leugenaar.	S
1	24	2	Maar ik heb Van Alphen nooit gezien.	S
1	25	2	Hy was al dood, geloof ik, toen hy ons vertelde dat myn vader	S
1	26	2	myn beste vrind was - ik hield meer van Pauweltje Winser, die naast ons woonde in de Batavierstraat - en dat myn kleine hond	S
1	27	2	zoo dankbaar was.	S
1	28	2	We hielden geen honden, omdat ze zoo onzindelyk zyn.	C
1	29	3	Alles leugens!	S
1	30	3	Zoo gaat dan de opvoeding voort.	C
1	31	3	Het nieuwe zusjen is van de groenvrouw gekomen in een groote kool.	C
1	32	3	Alle Hollanders zyn dapper en edelmoedig.	S
1	33	3	De Romeinen waren bly dat de Batavieren hen lieten leven.	E
1	34	3	De Bey van Tunis kreeg een kolyk als hy het wapperen hoorde van de nederlandsche vlag.	E
1	35	3	De hertog van Alva was een ondier.	S
1	36	3	De eb, in 1672 geloof ik, duurde wat langer dan gewoonlyk, expres om Nederland te beschermen.	C
1	37	3	Leugens!	S
1	38	3	Nederland is Nederland gebleven, omdat onze oude luî goed op hun zaken pasten, en omdat ze het ware geloof hadden.	S
1	39	3	Dàt is de zaak!	E
1	40	4	En dan komen later weer andere leugens.	S
1	41	4	Een meisjen is een engel.	S
1	42	4	Wie dit het eerst ontdekte, heeft nooit zusters gehad.	S
1	43	4	Liefde is een zaligheid.	S
1	44	4	Men vlucht met het een of ander voorwerp naar het einde der aarde.	E
1	45	4	De aarde heeft geen einden, en die liefde is ook gekheid.	C
1	46	4	Niemand kan zeggen dat ik niet goed leef met myn vrouw - zy is een dochter van Last & Co, makelaars in koffi - niemand kan iets op ons huwelyk aanmerken.	C
1	47	4	Ik ben lid van Artis, zy heeft een sjaallong van twee-en-negentig gulden, en van zulk een malle liefde die volstrekt aan het einde der aarde wil wonen, is toch tusschen ons nooit spraak geweest.	C
1	48	4	Toen we getrouwd zyn, hebben wy een toertje naar den Haag gemaakt - ze heeft daar flanel gekocht, waarvan ik nog borstrokken draag - en verder heeft ons de liefde nooit de wereld ingejaagd.	C
1	49	4	Dus:	C
1	50	4	alles gekheid en leugens!	S
1	51	5	En zou myn huwelyk nu minder gelukkig wezen, dan van de menschen die zich uit liefde de tering op den hals haalden, of de haren uit het hoofd?	S
1	52	5	Of denkt ge dat myn huishouden iets minder wel geregeld is, dan het wezen zou als ik voor zeventien jaar myn meisjen in verzen gezegd had dat ik haar trouwen wilde?	C
1	53	5	Gekheid!	S
1	54	5	Ik had dit toch even goed kunnen doen als ieder ander, want verzenmaken is een ambacht, zeker minder moeielyk dan ivoordraaien.	S
1	55	5	Hoe zouden anders de ulevellen met deviezen zoo goedkoop wezen?	S
1	56	5	- Frits zegt:	E
1	57	5	” Uhlefeldjes	S
1	58	5	ik weet niet, waarom?	S
1	59	5	- En vraag eens naar den prys van een stel billardballen!	E
1	60	6	Ik heb niets tegen verzen op-zichzelf.	S
1	61	6	Wil men de woorden in gelid 't zetten, goed!	C
1	62	6	Maar zeg niets wat niet waar is.	C
1	63	6	De lucht is guur, en 't is vier uur.	C
1	64	6	Dit laat ik gelden, als het werkelijk guur en vier uur is.	C
1	65	6	Maar als 't kwartier voor drieën is, kan ik, die myn woorden niet in 't gelid zet, zeggen:	E
1	66	6	” de lucht is guur, en 't is kwartier voor drieën.	E
1	67	6	De verzenmaker is door de guurheid van den eersten regel aan een vol uur gebonden.	C
1	68	6	Het moet voor hem juist een, twee uur, enz. wezen, of de lucht mag niet guur zyn.	C
1	69	6	Zeven en negen is verboden door de maat.	C
1	70	6	Daar gaat hy dan aan 't knoeien!	E
1	71	6	Of het weêr moet veranderd, òf de tyd.	E
1	72	6	Eén van beiden is dan gelogen.	E
1	73	7	En niet alleen die verzen lokken de jeugd tot onwaarheid.	C
1	74	7	Ga eens in den schouwburg, en luister dáár wat er voor leugens aan den man worden gebracht.	C
1	75	7	De held van 't stuk wordt uit het water gehaald door iemand die op 't punt staat bankroet te maken.	E
1	76	7	Dan geeft hy hem zyn halve vermogen.	E
1	77	7	Dat kan niet waar zyn.	S
1	78	7	Toen onlangs op de Prinsengracht myn hoed te-water woei - Frits zegt: waaide - heb ik den man die hem my terugbracht, een dubbeltje gegeven;	S
1	79	7	en hy was tevreden.	S
1	80	7	Ik weet wel dat ik iets meer had moeten geven als hy myzelf er uit gehaald had, maar zeker myn halve vermogen niet.	S
1	81	7	't Is immers duidelyk dat men op die wys maar tweemaal in 't water hoeft te vallen om doodarm te wezen.	C
1	82	7	Wat het ergste is by zulke vertooningen op het tooneel, het publiek gewent zich zóó aan al die onwaarheden, dat het ze mooi vindt en toejuicht.	C
1	83	7	Ik had weleens lust zoo'n heel parterre in 't water te gooien, om te zien wie dat toe juichen	S
1	84	7	gemeend had.	S
1	85	7	Ik, die van waarheid houd, waarschuw ieder dat ik voor 't opvisschen van myn persoon geen zoo hoog bergloon betalen wil.	S
1	86	7	Wie met minder niet tevreden is, mag me laten liggen.	S
1	87	7	Alleen Zondags zou ik iets meer geven, omdat ik dan myn kantilje ketting draag, en een anderen rok.	S
1	88	8	Ja, dat tooneel bederft velen, meer nog dan de romans.	S
1	89	8	Het is zoo aanschouwelyk!	S
1	90	8	Met wat klatergoud en wat kant van uitgeslagen papier, ziet er dat alles zoo aanlokkelyk uit.	C
1	91	8	Voor kinderen, meen ik, en voor menschen die niet in zaken zyn.	C
1	92	8	Zelfs als die tooneelmenschen armoede willen voorstellen, is hun voorstelling altyd leugenachtig.	C
1	93	8	Een meisje wier vader bankroet maakte, werkt om de familie te onderhouden.	E
1	94	8	Heel goed.	C
