sentence_id	paragraph_id	chapter_id	sentences
1	1	1	Ik ben makelaar in koffi, en woon op de Lauriergracht, N 37.
2	1	1	Het is myn gewoonte niet, romans te schryven, of zulke dingen, en het heeft dan ook lang geduurd, voor ik er toe overging een paar riem papier extra te bestellen, en het werk aantevangen, dat gy, lieve lezer, zoo-even in de hand hebt genomen, en dat ge lezen moet als ge makelaar in koffi zyt, of als ge wat anders zyt.
3	1	1	Niet alleen dat ik nooit iets schreef wat naar een roman geleek, maar ik houd er zelfs niet van, iets dergelyks te lezen, omdat ik een man van zaken ben.
4	1	1	Sedert jaren vraag ik my af, waartoe zulke dingen dienen, en ik sta verbaasd over de onbeschaamdheid, waarmede een dichter of romanverteller u iets op de mouw durft spelden, dat nooit gebeurd is, en meestal niet gebeuren kan.
5	1	1	Als ik in myn vak - ik ben makelaar in koffi, en woon op de Lauriergracht N 37 - aan een principaal - een principaal is iemand die koffi verkoopt - een opgave deed, waarin maar een klein gedeelte der onwaarheden voorkwam, die in gedichten en romans de hoofdzaak uitmaken, zou hy terstond Busselinck & Waterman nemen.
6	1	1	Dat zyn ook makelaars in koffi, doch hun adres behoeft ge niet te weten.
7	1	1	Ik pas er dus wel op, dat ik geen romans schryf, of andere valsche opgaven doe.
8	1	1	Ik heb dan ook altyd opgemerkt dat menschen die zich met zoo-iets inlaten, gewoonlyk slecht wegkomen.
9	1	1	Ik ben drie en veertig jaren oud, bezoek sedert twintig jaren de beurs, en kan dus voor den dag treden, als men iemand roept die ondervinding heeft.
10	1	1	Ik heb al wat huizen zien vallen!
11	1	1	En gewoonlyk, wanneer ik de oorzaken naging, kwam het me voor, dat die moesten gezocht worden in de verkeerde richting die aan de meesten gegeven was in hun jeugd.
12	2	1	Ik zeg:
13	2	1	waarheid en gezond verstand, en hier blyf ik
14	2	1	by.
15	2	1	Voor de Schrift maak ik natuurlyk een uitzondering.
16	2	1	De fout begint al van Van Alphen af, en wel terstond by den eersten regel over die “ lieve wichtjes.
17	2	1	Wat drommel kon dien ouden heer bewegen, zich uittegeven voor een aanbidder van myn zusje
18	2	1	Truitje die zeere oogen had, of van myn broêr Gerrit die altyd met zyn neus speelde?
19	2	1	En toch, hy zegt:
20	2	1	“dat hy die versjes zong, door liefde gedrongen.
21	2	1	Ik dacht dikwyls als kind:
22	2	1	“man, ik wilde u graag eens ontmoeten, en als ge my de marmerknikkers weigerde, die ik u vragen zou, of myn naam voluit in banket - ik heet
23	2	1	Batavus - dan houd ik u voor een leugenaar.
24	2	1	Maar ik heb Van Alphen nooit gezien.
25	2	1	Hy was al dood, geloof ik, toen hy ons vertelde dat myn vader
26	2	1	myn beste vrind was - ik hield meer van Pauweltje Winser, die naast ons woonde in de Batavierstraat - en dat myn kleine hond
27	2	1	zoo dankbaar was.
28	2	1	We hielden geen honden, omdat ze zoo onzindelyk zyn.
29	3	1	Alles leugens!
30	3	1	Zoo gaat dan de opvoeding voort.
31	3	1	Het nieuwe zusjen is van de groenvrouw gekomen in een groote kool.
32	3	1	Alle Hollanders zyn dapper en edelmoedig.
33	3	1	De Romeinen waren bly dat de Batavieren hen lieten leven.
34	3	1	De Bey van Tunis kreeg een kolyk als hy het wapperen hoorde van de nederlandsche vlag.
35	3	1	De hertog van Alva was een ondier.
36	3	1	De eb, in 1672 geloof ik, duurde wat langer dan gewoonlyk, expres om Nederland te beschermen.
37	3	1	Leugens!
38	3	1	Nederland is Nederland gebleven, omdat onze oude luî goed op hun zaken pasten, en omdat ze het ware geloof hadden.
39	3	1	Dàt is de zaak!
40	4	1	En dan komen later weer andere leugens.
41	4	1	Een meisjen is een engel.
42	4	1	Wie dit het eerst ontdekte, heeft nooit zusters gehad.
43	4	1	Liefde is een zaligheid.
44	4	1	Men vlucht met het een of ander voorwerp naar het einde der aarde.
45	4	1	De aarde heeft geen einden, en die liefde is ook gekheid.
46	4	1	Niemand kan zeggen dat ik niet goed leef met myn vrouw - zy is een dochter van Last & Co, makelaars in koffi - niemand kan iets op ons huwelyk aanmerken.
47	4	1	Ik ben lid van Artis, zy heeft een sjaallong van twee-en-negentig gulden, en van zulk een malle liefde die volstrekt aan het einde der aarde wil wonen, is toch tusschen ons nooit spraak geweest.
48	4	1	Toen we getrouwd zyn, hebben wy een toertje naar den Haag gemaakt - ze heeft daar flanel gekocht, waarvan ik nog borstrokken draag - en verder heeft ons de liefde nooit de wereld ingejaagd.
49	4	1	Dus:
50	4	1	alles gekheid en leugens!
51	5	1	En zou myn huwelyk nu minder gelukkig wezen, dan van de menschen die zich uit liefde de tering op den hals haalden, of de haren uit het hoofd?
52	5	1	Of denkt ge dat myn huishouden iets minder wel geregeld is, dan het wezen zou als ik voor zeventien jaar myn meisjen in verzen gezegd had dat ik haar trouwen wilde?
53	5	1	Gekheid!
54	5	1	Ik had dit toch even goed kunnen doen als ieder ander, want verzenmaken is een ambacht, zeker minder moeielyk dan ivoordraaien.
55	5	1	Hoe zouden anders de ulevellen met deviezen zoo goedkoop wezen?
56	5	1	- Frits zegt:
57	5	1	” Uhlefeldjes
58	5	1	ik weet niet, waarom?
59	5	1	- En vraag eens naar den prys van een stel billardballen!
60	6	1	Ik heb niets tegen verzen op-zichzelf.
61	6	1	Wil men de woorden in gelid 't zetten, goed!
62	6	1	Maar zeg niets wat niet waar is.
63	6	1	De lucht is guur, en 't is vier uur.
64	6	1	Dit laat ik gelden, als het werkelijk guur en vier uur is.
65	6	1	Maar als 't kwartier voor drieën is, kan ik, die myn woorden niet in 't gelid zet, zeggen:
66	6	1	” de lucht is guur, en 't is kwartier voor drieën.
